,head,relation,tail,head_rank,tail_rank,head_rank_2,tail_rank_2,rank_difference_tail,have_inv
581,2753255,_derivationally_related_form,331102,15.0,4.0,7.0,1.0,-3.0,0
583,6590885,_synset_domain_topic_of,6677302,1.0,1.0,7.0,4.0,3.0,1
584,739632,_hypernym,739270,1.0,1.0,101.0,45.0,44.0,1
585,344421,_hypernym,331950,1.0,1.0,18992.0,688.0,687.0,1
586,10347446,_synset_domain_topic_of,8199025,1.0,1.0,71.0,1.0,0.0,1
587,4530566,_has_part,4117216,1.0,1.0,24.0,450.0,449.0,1
589,10247880,_hypernym,7846,1.0,1.0,40443.0,425.0,424.0,1
590,7752109,_hypernym,7751451,1.0,1.0,34.0,4.0,3.0,1
591,2338901,_hypernym,2329401,1.0,1.0,7.0,3.0,2.0,1
592,504901,_hypernym,115157,1.0,1.0,1040.0,273.0,272.0,1
593,9189411,_has_part,8707917,1.0,1.0,1.0,2.0,1.0,1
594,1523908,_member_meronym,1584004,1.0,1.0,18.0,77.0,76.0,1
599,2163982,_hypernym,1342529,1.0,1.0,14.0,2.0,1.0,1
600,873603,_also_see,884778,1.0,1.0,2.0,1.0,0.0,1
602,4889162,_hypernym,4887912,1.0,1.0,9766.0,3564.0,3563.0,1
604,8179879,_hypernym,7942152,1.0,1.0,391.0,79.0,78.0,1
606,8765069,_instance_hypernym,8691669,1.0,1.0,93.0,2.0,1.0,1
607,8231499,_member_meronym,8078819,1.0,1.0,1360.0,145.0,144.0,1
608,188137,_hypernym,187526,1.0,1.0,3.0,1.0,0.0,1
609,7105475,_member_of_domain_usage,15267945,1.0,1.0,1.0,15.0,14.0,1
610,1880113,_hypernym,1831531,1.0,1.0,231.0,18.0,17.0,1
611,3158885,_has_part,3474896,1.0,1.0,11.0,1.0,0.0,1
617,93979,_hypernym,241689,1.0,1.0,7075.0,3873.0,3872.0,1
619,8760510,_member_meronym,8761244,1.0,1.0,2.0,7.0,6.0,1
623,8955626,_instance_hypernym,8700255,1.0,1.0,5.0,1.0,0.0,1
625,8566028,_hypernym,8568978,1.0,1.0,185.0,25.0,24.0,1
627,915830,_hypernym,941990,1.0,1.0,5.0,3.0,2.0,1
628,14462193,_hypernym,14460565,1.0,1.0,40890.0,26979.0,26978.0,1
630,858377,_hypernym,858188,1.0,1.0,1.0,6.0,5.0,1
632,12883395,_hypernym,11579418,1.0,1.0,9.0,1.0,0.0,1
633,8131530,_has_part,8347704,1.0,1.0,1.0,3.0,2.0,1
636,1305361,_derivationally_related_form,8640111,103.0,19.0,19.0,10.0,-9.0,0
637,306426,_has_part,306900,1.0,1.0,4.0,19.0,18.0,1
640,6951067,_member_of_domain_usage,10589243,1.0,1.0,6.0,4.0,3.0,1
641,1629589,_hypernym,1617192,1.0,1.0,169.0,19.0,18.0,1
642,8024096,_synset_domain_topic_of,759694,2.0,1.0,40538.0,419.0,418.0,1
643,164999,_hypernym,163779,1.0,1.0,1.0,5.0,4.0,1
649,6142118,_hypernym,5999797,1.0,1.0,1003.0,286.0,285.0,1
650,12423565,_member_meronym,12459471,1.0,1.0,1.0,8.0,7.0,1
651,7619881,_hypernym,7566340,1.0,1.0,40559.0,1273.0,1272.0,1
652,1753488,_hypernym,1752165,1.0,1.0,164.0,163.0,162.0,1
654,2163183,_hypernym,2162947,1.0,1.0,24403.0,18251.0,18250.0,1
655,15037339,_has_part,15037664,1.0,1.0,2.0,2.0,1.0,1
656,6013584,_synset_domain_topic_of,6000644,1.0,1.0,6.0,1.0,0.0,1
657,710005,_hypernym,704690,1.0,1.0,105.0,69.0,68.0,1
659,2108026,_hypernym,2108377,1.0,1.0,5.0,1.0,0.0,1
661,11217479,_instance_hypernym,10794014,1.0,1.0,40694.0,272.0,271.0,1
666,5514272,_hypernym,5514081,1.0,1.0,40767.0,33790.0,33789.0,1
667,11835451,_hypernym,11573660,1.0,1.0,4.0,1.0,0.0,1
668,6180720,_hypernym,5870916,1.0,1.0,11370.0,13587.0,13586.0,1
669,9252078,_instance_hypernym,9411430,1.0,1.0,1191.0,6.0,5.0,1
670,3852280,_has_part,3656484,1.0,1.0,10.0,5.0,4.0,1
671,1467180,_member_meronym,1467504,1.0,1.0,7.0,123.0,122.0,1
672,8792548,_has_part,8797840,82.0,891.0,110.0,955.0,64.0,0
673,6609503,_hypernym,6607339,1.0,1.0,4.0,4.0,3.0,1
675,207306,_hypernym,206927,1.0,1.0,13.0,6.0,5.0,1
677,1696648,_hypernym,1675963,1.0,1.0,1071.0,129.0,128.0,1
679,11886788,_hypernym,11575425,1.0,1.0,3.0,1.0,0.0,1
681,8152657,_member_meronym,10547145,1.0,1.0,11.0,7.0,6.0,0
683,2766792,_hypernym,3452741,1.0,1.0,40593.0,36859.0,36858.0,1
684,3530910,_has_part,3532187,1.0,1.0,1771.0,1709.0,1708.0,1
685,1771390,_hypernym,1767949,1.0,1.0,19.0,2.0,1.0,1
686,8023843,_instance_hypernym,8392137,1.0,1.0,288.0,2.0,1.0,1
687,13000372,_member_meronym,13004160,1.0,1.0,2.0,31.0,30.0,1
688,8928933,_instance_hypernym,8524735,1.0,1.0,23.0,1.0,0.0,1
690,14863521,_hypernym,14859838,1.0,1.0,32.0,48.0,47.0,1
691,13137409,_has_part,7742704,1.0,1.0,30.0,2.0,1.0,1
692,881329,_hypernym,880978,1.0,1.0,40706.0,4007.0,4006.0,1
693,4543772,_has_part,4283378,1.0,1.0,3.0,1.0,0.0,1
696,11795366,_hypernym,11556857,1.0,1.0,9.0,1.0,0.0,1
697,198793,_hypernym,191142,1.0,1.0,6075.0,1167.0,1166.0,1
698,977153,_hypernym,976653,1.0,1.0,575.0,233.0,232.0,1
702,6584891,_hypernym,6355894,55.0,2.0,40.0,5.0,3.0,0
704,2124748,_hypernym,2106506,1.0,1.0,35.0,7.0,6.0,1
705,9044862,_member_of_domain_region,7647496,1.0,1.0,113.0,29619.0,29618.0,1
706,6335832,_hypernym,6333653,24682.0,5329.0,19798.0,2300.0,-3029.0,0
710,12194776,_member_meronym,12195965,1.0,1.0,10.0,36.0,35.0,1
712,12154628,_member_meronym,12154773,1.0,1.0,13945.0,2281.0,2280.0,1
713,3339296,_hypernym,4188643,1.0,1.0,650.0,221.0,220.0,1
714,4029734,_hypernym,4421872,1.0,1.0,40797.0,26145.0,26144.0,1
715,15237782,_hypernym,15236475,1.0,1.0,159.0,68.0,67.0,1
717,15163005,_hypernym,15157041,28.0,3.0,9.0,3.0,0.0,0
718,8929243,_has_part,8929555,1.0,1.0,125.0,665.0,664.0,1
720,1792097,_hypernym,1790020,1.0,1.0,87.0,7.0,6.0,1
721,8715952,_instance_hypernym,8524735,1.0,1.0,610.0,4.0,3.0,1
722,4003241,_hypernym,4330340,1.0,1.0,40870.0,4101.0,4100.0,1
724,10274639,_hypernym,9931267,1.0,1.0,40865.0,34178.0,34177.0,1
726,7712559,_hypernym,7712382,1.0,1.0,99.0,235.0,234.0,1
728,2594552,_hypernym,2594250,1.0,1.0,101.0,3.0,2.0,1
730,8394423,_hypernym,8191230,1.0,1.0,305.0,161.0,160.0,1
731,2244963,_hypernym,1759182,1.0,1.0,6.0,1.0,0.0,1
732,7182744,_hypernym,7183151,1.0,1.0,40811.0,2633.0,2632.0,1
734,652659,_hypernym,633864,1.0,1.0,12331.0,2170.0,2169.0,1
735,5459953,_hypernym,14867858,1.0,1.0,164.0,379.0,378.0,1
736,3270165,_has_part,4304375,1.0,1.0,65.0,301.0,300.0,1
741,2087156,_hypernym,2077656,1.0,1.0,1390.0,200.0,199.0,1
742,518653,_hypernym,313987,1.0,1.0,255.0,413.0,412.0,1
746,7269916,_hypernym,6806469,1.0,1.0,674.0,308.0,307.0,1
747,768353,_hypernym,766234,1.0,1.0,40881.0,504.0,503.0,1
748,11746776,_member_meronym,12486732,103.0,605.0,215.0,1870.0,1265.0,0
749,6295235,_member_of_domain_usage,3825080,1.0,1.0,1.0,1410.0,1409.0,1
750,1798100,_hypernym,1770501,1.0,1.0,286.0,198.0,197.0,1
751,1471682,_has_part,5563034,1.0,1.0,16.0,83.0,82.0,1
753,1409065,_hypernym,1387617,1.0,1.0,40693.0,1551.0,1550.0,1
754,1835496,_also_see,1992503,1.0,7.0,27.0,112.0,105.0,1
755,14476205,_hypernym,14475405,1.0,1.0,40869.0,22511.0,22510.0,1
756,1421622,_hypernym,1296462,1.0,1.0,168.0,24.0,23.0,1
758,1400856,_hypernym,1400044,1.0,1.0,8391.0,1022.0,1021.0,1
760,8860123,_member_of_domain_region,504844,1.0,1.0,2.0,10367.0,10366.0,1
761,667424,_hypernym,666886,1.0,1.0,1236.0,2031.0,2030.0,1
763,783042,_hypernym,782527,1.0,1.0,5.0,1.0,0.0,1
765,2072673,_hypernym,1992503,1.0,1.0,7222.0,801.0,800.0,1
768,10207514,_hypernym,10305802,1.0,1.0,172.0,179.0,178.0,1
770,4643221,_hypernym,4623612,1.0,1.0,29864.0,3771.0,3770.0,1
773,3258730,_hypernym,3121897,1.0,1.0,25746.0,21230.0,21229.0,1
774,8775597,_instance_hypernym,8574314,1.0,1.0,9758.0,22.0,21.0,1
776,1292534,_hypernym,1354673,1.0,1.0,10.0,2.0,1.0,1
778,11864602,_member_meronym,11866078,1.0,1.0,20.0,67.0,66.0,1
779,13096317,_hypernym,13095685,1.0,1.0,40765.0,32823.0,32822.0,1
780,8774073,_instance_hypernym,8524735,1.0,1.0,159.0,2.0,1.0,1
781,2156532,_hypernym,5559908,1.0,1.0,1480.0,969.0,968.0,1
782,11804082,_member_meronym,11804604,1.0,1.0,1.0,3.0,2.0,1
784,12339319,_hypernym,11567411,1.0,1.0,4.0,1.0,0.0,1
785,7939159,_hypernym,31264,1.0,1.0,16127.0,742.0,741.0,1
790,852685,_hypernym,851933,84.0,53.0,170.0,56.0,3.0,0
791,5902545,_hypernym,5898568,1.0,1.0,1396.0,162.0,161.0,1
792,1821727,_member_meronym,1821869,1.0,1.0,6.0,5.0,4.0,1
793,13659419,_has_part,13659162,1.0,1.0,32.0,23.0,22.0,1
794,4633197,_hypernym,4632157,1.0,1.0,97.0,98.0,97.0,1
795,7498854,_hypernym,7497473,1.0,1.0,2191.0,647.0,646.0,1
799,6845599,_member_of_domain_usage,4011409,1.0,1.0,1.0,24.0,23.0,1
800,139919,_synset_domain_topic_of,469651,1.0,1.0,27.0,1.0,0.0,1
804,14636523,_hypernym,14622893,1.0,1.0,40528.0,707.0,706.0,1
805,5983217,_hypernym,5982152,1.0,1.0,6243.0,950.0,949.0,1
806,6122178,_hypernym,6115476,1.0,1.0,276.0,1788.0,1787.0,1
810,11911274,_member_meronym,12167749,1.0,1.0,18.0,70.0,69.0,1
811,10127273,_hypernym,10287213,25995.0,934.0,29337.0,1752.0,818.0,0
812,2471467,_member_meronym,2472012,1.0,1.0,1.0,12.0,11.0,1
813,8801546,_instance_hypernym,9032191,1.0,1.0,2.0,1285.0,1284.0,1
817,80169,_hypernym,78760,1.0,1.0,40638.0,753.0,752.0,1
818,2942699,_has_part,3340723,1.0,1.0,38.0,45.0,44.0,1
821,11944196,_hypernym,13085113,1.0,1.0,692.0,174.0,173.0,1
822,2470175,_hypernym,2469835,1.0,1.0,34.0,22.0,21.0,1
825,8821578,_has_part,8821187,1.0,1.0,285.0,754.0,753.0,1
826,7208708,_hypernym,7208338,1.0,1.0,8.0,1.0,0.0,1
827,2873623,_hypernym,2944826,1.0,1.0,336.0,209.0,208.0,1
829,1021794,_synset_domain_topic_of,903559,1.0,1.0,647.0,6.0,5.0,1
830,313987,_hypernym,126264,1.0,1.0,7170.0,215.0,214.0,1
831,14724025,_hypernym,14723079,1.0,1.0,261.0,108.0,107.0,1
832,7221094,_hypernym,6598915,1.0,1.0,380.0,41.0,40.0,1
833,8617963,_hypernym,8664443,1.0,1.0,493.0,426.0,425.0,1
835,2397529,_hypernym,2394477,1.0,1.0,42.0,12.0,11.0,1
836,9634494,_hypernym,7846,2.0,1.0,34902.0,40746.0,40745.0,1
838,9679708,_hypernym,9678009,1.0,1.0,102.0,13.0,12.0,1
839,845178,_hypernym,13440063,2535.0,294.0,1005.0,44.0,-250.0,0
840,12423565,_member_meronym,12465796,1.0,1.0,2.0,25.0,24.0,1
841,11719468,_member_meronym,11735822,1.0,1.0,1.0,16.0,15.0,1
843,5461179,_has_part,5238282,1.0,1.0,266.0,557.0,556.0,1
844,5794403,_hypernym,5793000,1.0,1.0,2333.0,1550.0,1549.0,1
845,7916970,_hypernym,7885223,1.0,1.0,22745.0,1926.0,1925.0,1
846,12358293,_has_part,7822323,507.0,384.0,293.0,312.0,-72.0,0
850,4760296,_hypernym,4761517,1.0,1.0,34777.0,21210.0,21209.0,1
851,2535909,_member_meronym,2536456,1.0,1.0,1.0,6.0,5.0,1
854,7032753,_synset_domain_topic_of,7071942,1.0,1.0,33162.0,12988.0,12987.0,1
855,4038109,_hypernym,4037625,1.0,1.0,22054.0,7146.0,7145.0,1
857,2371811,_hypernym,2367363,1.0,1.0,1646.0,12.0,11.0,1
858,2642610,_hypernym,2641957,1.0,1.0,21.0,9.0,8.0,1
859,7526505,_hypernym,7526338,1.0,1.0,306.0,169.0,168.0,1
860,356199,_hypernym,351638,1.0,1.0,23940.0,2162.0,2161.0,1
861,8912703,_instance_hypernym,8524735,1.0,1.0,172.0,1.0,0.0,1
863,2503803,_hypernym,2501738,1.0,1.0,43.0,11.0,10.0,1
864,15124545,_has_part,15124713,1.0,1.0,13493.0,40768.0,40767.0,1
866,1292928,_instance_hypernym,956485,1.0,1.0,8.0,1.0,0.0,1
867,13617308,_synset_domain_topic_of,922327,1.0,1.0,17771.0,1119.0,1118.0,1
870,8704822,_has_part,8705251,1.0,1.0,477.0,558.0,557.0,1
873,12633386,_member_meronym,12633638,1.0,1.0,19.0,28.0,27.0,1
874,2916350,_hypernym,4008634,1.0,1.0,40699.0,18725.0,18724.0,1
875,2575766,_member_meronym,2576223,1.0,1.0,1.0,22.0,21.0,1
876,4636610,_hypernym,4636397,1.0,1.0,11252.0,15388.0,15387.0,1
877,914421,_also_see,1837744,6.0,6.0,8.0,7.0,1.0,0
878,390735,_derivationally_related_form,1700326,38006.0,36085.0,347.0,913.0,-35172.0,0
879,12200315,_member_meronym,12200504,1.0,1.0,39124.0,40805.0,40804.0,1
882,5554405,_hypernym,5554189,1.0,1.0,97.0,668.0,667.0,1
883,12056217,_hypernym,12041446,1.0,1.0,4.0,2.0,1.0,1
887,10617193,_hypernym,10642151,10.0,22.0,11.0,18.0,-4.0,0
889,8438533,_member_meronym,8439476,1.0,1.0,14.0,123.0,122.0,1
890,572186,_hypernym,126264,1.0,1.0,10631.0,116.0,115.0,1
893,4076846,_hypernym,3129123,1.0,1.0,151.0,12.0,11.0,1
895,5623181,_derivationally_related_form,306314,949.0,899.0,1111.0,797.0,-102.0,0
896,3484083,_has_part,3485997,1.0,1.0,2727.0,928.0,927.0,1
898,8188449,_member_meronym,9920901,1.0,1.0,248.0,227.0,226.0,1
900,13439390,_hypernym,13526110,1.0,1.0,321.0,8.0,7.0,1
902,2453321,_hypernym,2452885,1.0,1.0,7.0,4.0,3.0,1
904,19613,_hypernym,13809207,21406.0,10591.0,3122.0,1234.0,-9357.0,0
905,8230219,_hypernym,8227214,1.0,1.0,40616.0,631.0,630.0,1
906,6778925,_hypernym,6778102,1.0,1.0,6.0,3.0,2.0,1
908,9223725,_hypernym,9257949,19001.0,1676.0,7536.0,658.0,-1018.0,0
909,3592245,_hypernym,3111690,1.0,1.0,2.0,3.0,2.0,1
911,4568298,_hypernym,3178782,1.0,1.0,677.0,338.0,337.0,1
912,3566329,_hypernym,3700963,9607.0,8340.0,19050.0,21602.0,13262.0,0
914,8879388,_instance_hypernym,8524735,15.0,1.0,3.0,1.0,0.0,0
917,13384164,_hypernym,13281275,1.0,1.0,1700.0,2403.0,2402.0,1
918,1944466,_hypernym,1974062,1.0,1.0,18901.0,425.0,424.0,1
921,4425262,_hypernym,3713736,1.0,1.0,69.0,17.0,16.0,1
925,947857,_derivationally_related_form,634586,16552.0,7882.0,14797.0,3708.0,-4174.0,0
927,1424607,_member_meronym,1425076,1.0,1.0,11.0,12.0,11.0,1
929,4475,_hypernym,4258,1.0,1.0,8.0,2.0,1.0,1
932,565279,_hypernym,109660,1.0,1.0,568.0,6.0,5.0,1
933,11743772,_hypernym,11743294,1.0,1.0,1026.0,7659.0,7658.0,1
940,8208016,_hypernym,8008335,1.0,1.0,459.0,45.0,44.0,1
941,5159495,_hypernym,5159225,1.0,1.0,40894.0,34428.0,34427.0,1
943,10175725,_hypernym,9977660,138.0,19.0,93.0,18.0,-1.0,0
946,3070193,_hypernym,2670382,1.0,1.0,40734.0,10613.0,10612.0,1
948,12647560,_hypernym,12647376,1.0,1.0,472.0,8035.0,8034.0,1
949,2942699,_has_part,4211528,1.0,1.0,27330.0,35124.0,35123.0,1
952,7243837,_synset_domain_topic_of,1032368,1.0,1.0,171.0,26.0,25.0,1
954,9020299,_instance_hypernym,8524735,1.0,1.0,545.0,2.0,1.0,1
955,4952570,_hypernym,4952242,1.0,1.0,33.0,10.0,9.0,1
957,1628885,_member_meronym,1631035,1.0,1.0,1.0,3.0,2.0,1
960,705580,_hypernym,661091,1.0,1.0,26.0,15.0,14.0,1
961,80705,_synset_domain_topic_of,612160,1.0,1.0,6.0,1.0,0.0,1
962,10551265,_synset_domain_topic_of,15259284,1.0,1.0,11.0,2.0,1.0,1
963,2025550,_derivationally_related_form,827782,73.0,306.0,38.0,141.0,-165.0,0
964,10362003,_hypernym,7846,1.0,1.0,40268.0,425.0,424.0,1
965,2570267,_hypernym,2514187,1.0,1.0,2342.0,499.0,498.0,1
967,7105475,_member_of_domain_usage,36580,1.0,1.0,4.0,97.0,96.0,1
969,11867525,_member_meronym,11896904,1.0,1.0,1.0,12.0,11.0,1
970,6155075,_hypernym,6153846,1.0,1.0,3.0,6.0,5.0,1
972,9089923,_instance_hypernym,8524735,1.0,1.0,269.0,2.0,1.0,1
981,4894204,_hypernym,4894037,1.0,1.0,19243.0,15408.0,15407.0,1
982,10037922,_hypernym,10515194,1.0,1.0,38440.0,3067.0,3066.0,1
983,3639497,_hypernym,4402057,1.0,1.0,40744.0,9514.0,9513.0,1
984,1483779,_hypernym,1463963,1.0,1.0,987.0,302.0,301.0,1
986,2795169,_has_part,3533972,1.0,1.0,1864.0,3805.0,3804.0,1
987,2987047,_hypernym,3574816,1.0,1.0,4928.0,365.0,364.0,1
988,2418686,_hypernym,2419073,415.0,422.0,281.0,168.0,-254.0,0
989,2119874,_derivationally_related_form,14180327,4.0,9.0,1.0,3.0,-6.0,0
990,7286368,_hypernym,7286014,1.0,1.0,11877.0,12567.0,12566.0,1
992,9184136,_hypernym,9183693,1.0,1.0,3646.0,2445.0,2444.0,1
993,1639714,_hypernym,1631534,1.0,1.0,2.0,1.0,0.0,1
996,7027180,_hypernym,7020895,1.0,1.0,611.0,11.0,10.0,1
997,9426788,_has_part,9313716,1.0,1.0,1.0,3.0,2.0,1
998,6236802,_hypernym,5946687,1.0,1.0,53.0,399.0,398.0,1
999,1522276,_derivationally_related_form,7441619,38.0,17.0,33.0,17.0,0.0,0
1000,2711114,_hypernym,2700867,1.0,1.0,363.0,119.0,118.0,1
1001,3466162,_has_part,4551375,1.0,1.0,1835.0,222.0,221.0,1
1002,2229828,_hypernym,2229550,1.0,1.0,3.0,3.0,2.0,1
1003,6875094,_hypernym,6873571,1.0,1.0,65.0,57.0,56.0,1
1006,1800195,_hypernym,1799302,1.0,1.0,214.0,698.0,697.0,1
1007,61401,_hypernym,61595,7.0,6.0,2.0,4.0,-2.0,0
1008,2647903,_member_meronym,2648035,1.0,1.0,2.0,2.0,1.0,1
1009,784388,_hypernym,768701,1.0,1.0,253.0,153.0,152.0,1
1010,4230808,_hypernym,3419014,1.0,1.0,13.0,1.0,0.0,1
1011,12994979,_member_meronym,12995724,1.0,1.0,1.0,11.0,10.0,1
1012,6682494,_hypernym,6682290,1.0,1.0,8250.0,27856.0,27855.0,1
1013,1422172,_hypernym,1421622,1.0,1.0,3.0,3.0,2.0,1
1014,9051898,_instance_hypernym,8574314,1.0,1.0,209.0,1.0,0.0,1
1015,7230502,_hypernym,7160883,1.0,1.0,105.0,21.0,20.0,1
1020,2678070,_hypernym,2422026,1.0,1.0,11.0,6.0,5.0,1
1023,888796,_hypernym,887081,1.0,1.0,44.0,8.0,7.0,1
1024,486557,_hypernym,486018,1.0,1.0,40918.0,9669.0,9668.0,1
1026,5405324,_hypernym,13771404,1.0,1.0,6114.0,4790.0,4789.0,1
1027,9014979,_has_part,9263087,1.0,1.0,19.0,18.0,17.0,1
1030,5415395,_hypernym,5404728,1.0,1.0,40616.0,32000.0,31999.0,1
1034,1675190,_also_see,1282014,1896.0,5957.0,401.0,786.0,-5171.0,0
1036,5844105,_hypernym,5839024,1.0,1.0,2487.0,603.0,602.0,1
1037,376106,_hypernym,443984,335.0,23.0,180.0,30.0,7.0,0
1041,10754449,_derivationally_related_form,2566528,2389.0,269.0,234.0,63.0,-206.0,0
1043,5464685,_has_part,5468523,1.0,1.0,35368.0,16856.0,16855.0,1
1044,14123259,_hypernym,14123044,1.0,1.0,40563.0,28099.0,28098.0,1
1047,13194036,_hypernym,13193642,1.0,1.0,40832.0,15755.0,15754.0,1
1048,2215966,_hypernym,2271137,1.0,1.0,1347.0,645.0,644.0,1
1049,14862753,_hypernym,14739360,1.0,1.0,40888.0,23302.0,23301.0,1
1050,2130300,_hypernym,644583,1.0,1.0,87.0,23.0,22.0,1
1052,8571275,_hypernym,8523483,1.0,1.0,23230.0,1805.0,1804.0,1
1053,1911511,_member_meronym,1912272,1.0,1.0,5.0,7.0,6.0,1
1055,2376958,_hypernym,2367363,2.0,1.0,381.0,454.0,453.0,1
1058,1949007,_hypernym,1955984,1.0,1.0,480.0,16.0,15.0,1
1059,539510,_hypernym,539121,1.0,1.0,40705.0,2125.0,2124.0,1
1060,2474780,_hypernym,884540,1.0,1.0,9399.0,5464.0,5463.0,1
1061,11416988,_hypernym,11410625,1.0,1.0,40596.0,853.0,852.0,1
1062,609506,_hypernym,609683,1.0,1.0,2747.0,3695.0,3694.0,1
1063,5406782,_hypernym,5397468,1.0,1.0,40554.0,919.0,918.0,1
1067,6407094,_hypernym,6362953,1.0,1.0,22255.0,1879.0,1878.0,1
1069,1947735,_hypernym,1945845,1.0,1.0,150.0,518.0,517.0,1
1071,13470491,_hypernym,13457378,1.0,1.0,5.0,4.0,3.0,1
1072,8851500,_instance_hypernym,8633957,1.0,1.0,99.0,1.0,0.0,1
1074,10434725,_derivationally_related_form,1645421,5.0,45.0,5.0,22.0,-23.0,0
1076,4617562,_hypernym,24264,1.0,1.0,14.0,6.0,5.0,1
1077,394813,_hypernym,140123,1.0,1.0,197.0,46.0,45.0,1
1079,8766988,_has_part,8772667,3.0,312.0,5.0,333.0,21.0,0
1082,2528534,_member_meronym,2538730,1.0,1.0,2.0,11.0,10.0,1
1086,44150,_hypernym,30358,1.0,1.0,657.0,46.0,45.0,1
1087,2186690,_hypernym,2179518,1.0,1.0,47.0,3.0,2.0,1
1090,9029457,_has_part,9029884,1.0,1.0,11.0,293.0,292.0,1
1092,3357081,_hypernym,4489008,1.0,1.0,63.0,1.0,0.0,1
1093,5260240,_hypernym,5256862,1.0,1.0,40793.0,1312.0,1311.0,1
1094,4179385,_hypernym,3816849,1.0,1.0,189.0,63.0,62.0,1
1095,3120778,_hypernym,4105893,1.0,1.0,10302.0,636.0,635.0,1
1097,5011790,_hypernym,5009170,1.0,1.0,4.0,2.0,1.0,1
1098,15068436,_hypernym,14818238,1.0,1.0,768.0,126.0,125.0,1
1099,1445407,_hypernym,1441100,1.0,1.0,917.0,359.0,358.0,1
1101,140751,_hypernym,138508,1.0,1.0,4.0,2.0,1.0,1
1102,8703454,_has_part,9384223,1.0,1.0,1.0,2.0,1.0,1
1103,6394701,_hypernym,6598915,1.0,1.0,1179.0,68.0,67.0,1
1104,12326842,_member_meronym,12327022,1.0,1.0,488.0,511.0,510.0,1
1106,1397088,_hypernym,1400044,1.0,1.0,40556.0,4106.0,4105.0,1
1107,1947352,_hypernym,1946996,1.0,1.0,45.0,177.0,176.0,1
1108,1548301,_hypernym,1547832,1.0,1.0,4.0,1.0,0.0,1
1111,558008,_synset_domain_topic_of,463543,1.0,1.0,4.0,3.0,2.0,1
1112,2429695,_member_meronym,2435386,1.0,1.0,1.0,4.0,3.0,1
1113,3611590,_hypernym,3433434,32.0,31.0,84.0,42.0,11.0,0
1114,9063673,_instance_hypernym,8638442,1.0,1.0,56.0,2.0,1.0,1
1115,1918803,_hypernym,1904930,1.0,1.0,8.0,2.0,1.0,1
1116,11648617,_hypernym,11554175,1.0,1.0,3.0,1.0,0.0,1
1117,13316332,_hypernym,13313899,1.0,1.0,40660.0,21380.0,21379.0,1
1118,7142365,_hypernym,7140659,1.0,1.0,4.0,1.0,0.0,1
1119,3977966,_hypernym,4520170,1.0,1.0,40887.0,15281.0,15280.0,1
1120,12370011,_member_meronym,12370174,1.0,1.0,352.0,540.0,539.0,1
1123,10110287,_hypernym,10245639,1.0,1.0,1735.0,428.0,427.0,1
1124,6669864,_synset_domain_topic_of,6000644,1.0,1.0,59.0,1.0,0.0,1
1125,14531392,_hypernym,14531983,1.0,1.0,6442.0,6715.0,6714.0,1
1126,307631,_hypernym,306426,91.0,50.0,62.0,29.0,-21.0,0
1128,9760913,_hypernym,10340312,1.0,1.0,9.0,3.0,2.0,1
1131,28362,_hypernym,22686,1.0,1.0,2.0,1.0,0.0,0
1134,3534776,_hypernym,4517823,1.0,1.0,9.0,9.0,8.0,1
1136,12213635,_member_meronym,12222715,1.0,1.0,1.0,110.0,109.0,1
1137,11456273,_has_part,11455901,1.0,1.0,2.0,1.0,0.0,1
1140,10634990,_derivationally_related_form,20926,81.0,73.0,74.0,57.0,-16.0,0
1141,6717170,_member_of_domain_usage,10076033,4.0,2383.0,5.0,647.0,-1736.0,0
1142,2364520,_hypernym,2329401,1.0,1.0,40773.0,912.0,911.0,1
1143,12006503,_hypernym,11579418,1.0,1.0,5.0,1.0,0.0,1
1144,1105296,_hypernym,1105639,1.0,1.0,40666.0,842.0,841.0,1
1148,12019675,_hypernym,11579418,1.0,1.0,4.0,1.0,0.0,1
1149,13652066,_hypernym,13603305,1.0,1.0,115.0,2.0,1.0,1
1150,9791248,_synset_domain_topic_of,4323026,1.0,1.0,32573.0,3793.0,3792.0,1
1152,8377806,_hypernym,8457976,1.0,1.0,15634.0,4270.0,4269.0,1
1154,8766988,_has_part,9417560,1.0,1.0,16.0,560.0,559.0,1
1155,10264437,_hypernym,10560637,1.0,1.0,1383.0,95.0,94.0,1
1156,11451442,_has_part,11500968,1.0,1.0,2.0,19.0,18.0,1
1157,12775530,_member_meronym,12775919,1.0,1.0,283.0,333.0,332.0,1
1159,8736779,_instance_hypernym,8524735,1.0,1.0,856.0,4.0,3.0,1
1162,6820425,_hypernym,6818970,1.0,1.0,3801.0,434.0,433.0,1
1163,858631,_hypernym,858377,1.0,1.0,40896.0,6595.0,6594.0,1
1164,1703023,_synset_domain_topic_of,7092592,1.0,1.0,2.0,1.0,0.0,1
1165,2236124,_hypernym,2210855,1.0,1.0,22.0,7.0,6.0,1
1166,12575089,_member_meronym,12576029,1.0,1.0,7.0,238.0,237.0,1
1168,9459114,_instance_hypernym,9360122,91.0,2.0,21.0,2.0,0.0,0
1169,11748811,_hypernym,13139055,1.0,1.0,435.0,601.0,600.0,1
1171,10771636,_hypernym,7846,1.0,1.0,40208.0,425.0,424.0,1
1175,1912159,_hypernym,2050132,1.0,1.0,13.0,6.0,5.0,0
1176,4036776,_hypernym,13893786,1.0,1.0,40826.0,11762.0,11761.0,1
